id,pillar,platform,working_title,main_keyword,s_case_relevance,s_search_demand,s_urgency,s_low_competition,s_timeliness,score,status,note
T001,P1,naver,"돌아가신 아버지 빚, 상속포기 기간 3개월은 언제부터?",상속포기 기간,5,5,5,2,3,40,planned:W1,
T002,P2,naver,"추석 지나고 형제간 상속 다툼, 가장 먼저 확인할 3가지",상속재산분할,4,3,3,3,5,32,planned:W1,명절 시즌
T003,P2,tistory,상속재산분할협의 총정리 | 협의서·등기·결렬 시 심판,상속재산분할협의서,4,4,2,3,3,30,planned:W1,
T004,P1,naver,상속포기 했는데 사망보험금 받아도 되나요?,상속포기 보험금,4,5,4,3,2,35,planned:W2,기존 티스토리 '보험금 상속'과 링크
T005,P1,tistory,한정승인 절차·비용·기간 완벽 가이드 | 재산목록 작성법,한정승인 절차,5,5,4,2,2,37,ready_private,inheritance-property-list 실무 반영
T006,P3,naver,개인회생 신청 전 반드시 멈춰야 할 행동 5가지,개인회생 신청 전,4,4,4,3,2,33,ready_private,
T007,P1,naver,부모님 빚을 3개월 지나서 알았다면: 특별한정승인,특별한정승인,5,4,5,3,2,38,planned:W3,
T008,P1,tistory,상속포기 vs 한정승인 비교 | 후순위 상속인·손자녀 문제,상속포기 한정승인 차이,5,5,4,1,2,36,planned:W3,경쟁 치열 → 교차 주제 각도
T009,P3,naver,개인회생 중 차 팔아도 되나요?,개인회생 자동차,3,4,3,3,2,28,planned:W3,2024.12 원고 재활용
T010,P1,naver,자녀 모두 상속포기하면 빚이 손자·조카에게 넘어간다?,상속포기 후순위,5,4,5,3,2,38,planned:W4,2024.09 티스토리 원고와 각도 차별
T011,P2,tistory,[리프레시] 유류분 총정리 - 2024 헌재 결정 이후 달라진 점,유류분,4,5,2,2,5,33,planned:W4,법령 재확인 필수
T012,P3,naver,2026년 개인회생 생계비 기준과 변제금 계산 예시,개인회생 생계비,4,5,3,2,4,34,planned:W4,기준중위소득 확인
T013,P1,naver,한정승인 후 채권자에게 연락이 왔다면,한정승인 후 채권자,5,3,5,4,2,37,planned:W5,
T014,P1,tistory,상속재산파산 신청 가이드 | 한정승인과 함께 써야 하는 경우,상속재산파산,5,2,4,5,2,34,planned:W5,교차 주제(상속×파산) 독점 키워드
T015,P4,naver,전세사기 피해자도 개인회생 할 수 있나요?,전세사기 개인회생,4,4,4,4,4,36,planned:W5,2026.02 자동화 시트 주제
T016,P2,naver,형제자매는 이제 유류분 청구 못 하나요?,형제자매 유류분,3,4,2,4,5,30,planned:W6,법령 재확인 필수
T017,P2,tistory,유류분 계산 방법 | 증여 산입·특별수익·시가 평가,유류분 계산,4,5,2,2,3,31,planned:W6,
T018,P3,naver,"개인파산 면책불허가 사유, 이런 경우 조심하세요",면책불허가 사유,4,3,3,3,2,29,planned:W6,
T019,P2,naver,부모를 버린 자녀도 상속받나요? 상속권 상실 제도,상속권 상실,3,4,2,4,5,30,planned:W7,민법 제1004조의2 시행 2026.1.1 확인
T020,P2,tistory,상속권 상실 선고 청구 가이드(민법 제1004조의2),상속권 상실 선고,3,3,2,5,5,29,planned:W7,
T021,P3,naver,개인회생 폐지 통지 받았을 때 대응법,개인회생 폐지,4,4,5,3,2,35,planned:W7,2024.09 원고 재활용
T022,P2,naver,"생전에 받은 아파트, 형제가 특별수익이라고 한다면",특별수익,4,3,2,4,2,28,planned:W8,
T023,P2,tistory,기여분 인정 기준 | 부모 부양·간병 기여 판례 정리,기여분,4,4,2,3,2,29,planned:W8,
T024,P4,naver,"이혼 재산분할 받을 돈, 파산하면 어떻게 되나요?",이혼 파산 재산분할,3,2,3,5,2,26,planned:W8,교차 주제
T025,P2,naver,사실혼 배우자는 상속받을 수 있을까요?,사실혼 배우자 상속,3,4,2,3,2,26,planned:W9,
T026,P2,tistory,자필유언 유효 요건과 검인 절차 | 무효 사례,자필유언,4,4,2,3,2,29,planned:W9,
T027,P3,naver,개인회생 vs 개인파산 vs 신속채무조정 선택 기준,개인회생 파산 차이,4,5,3,1,2,31,planned:W9,기존 비교글 2건 통합
T028,P2,naver,"상속 부동산 등기 안 해주는 형제, 어떻게 하나요?",상속등기 비협조,4,3,3,4,2,30,planned:W10,
T029,P2,tistory,유언대용신탁 vs 유언 | 유류분 회피 가능성,유언대용신탁 유류분,4,3,1,3,3,26,planned:W10,
T030,P3,naver,연말 전에 채무정리 시작해야 하는 이유,채무정리,3,3,4,3,4,30,planned:W10,
T031,P2,naver,연말 증여 전에 알아야 할 유류분 리스크,증여 유류분,3,3,2,4,4,27,planned:W11,
T032,P4,tistory,상속세 기본 구조와 신고 기한 | 상속포기·한정승인 시 세금,상속세 신고기한,3,5,3,2,4,31,planned:W11,세법 개편 여부 확인
T033,P3,naver,개인회생 채권자목록에서 빠뜨린 빚이 있다면,채권자목록 누락,4,3,4,4,2,32,planned:W11,
T034,P1,naver,[상담 사례] 한정승인으로 상속채무 정리한 사례,한정승인 사례,5,3,3,3,2,32,planned:W12,의뢰인 동의·익명화 필수
T035,P4,tistory,2026 상속·회생 법령 변화 연말 결산,상속법 개정,3,3,2,4,5,28,planned:W12,
T036,P3,naver,새해 개인회생 신청 준비 체크리스트,개인회생 서류,4,4,3,2,4,32,planned:W12,
T037,P1,naver,상속포기하면 부모님 차·집 정리는 누가 하나요?,상속포기 차량,4,4,4,4,2,34,backlog,
T038,P1,naver,상속포기 전에 통장에서 돈 빼면 안 되는 이유,상속포기 단순승인,5,4,5,3,2,38,backlog,2024.07 티스토리 주제 연계
T039,P4,naver,전세보증금 못 돌려받는 집주인이 사망했다면,임대인 사망 보증금,4,3,4,5,4,35,backlog,app.py 예시 글감
T040,P1,tistory,미성년 자녀의 상속포기·한정승인(특별대리인),미성년자 상속포기,4,3,4,4,2,32,backlog,
T041,P4,tistory,개인정보보호법 실무 Q&A 허브(기업 대상),가명정보,2,2,1,4,2,18,backlog,B2B 카테고리 분리
T042,P3,naver,개인회생 중 상속받으면 어떻게 되나요?,개인회생 상속,4,3,3,5,2,31,backlog,교차 주제
